date,country,energy
2018-01,FR,102.72
2018-02,FR,102.56
2018-03,FR,103.0
2018-04,FR,103.04
2018-05,FR,104.12
2018-06,FR,103.89
2018-07,FR,103.98
2018-08,FR,104.21
2018-09,FR,104.91
2018-10,FR,104.67
2018-11,FR,104.38
2018-12,FR,105.08
2019-01,FR,105.71
2019-02,FR,105.75
2019-03,FR,105.43
2019-04,FR,105.47
2019-05,FR,106.32
2019-06,FR,106.45
2019-07,FR,107.15
2019-08,FR,107.73
2019-09,FR,107.09
2019-10,FR,106.5
2019-11,FR,106.65
2019-12,FR,107.36
2020-01,FR,107.87
2020-02,FR,107.78
2020-03,FR,107.72
2020-04,FR,110.26
2020-05,FR,110.91
2020-06,FR,109.76
2020-07,FR,108.44
2020-08,FR,108.7
2020-09,FR,108.13
2020-10,FR,108.39
2020-11,FR,109.18
2020-12,FR,108.72
2021-01,FR,109.08
2021-02,FR,108.78
2021-03,FR,108.85
2021-04,FR,109.58
2021-05,FR,110.33
2021-06,FR,109.39
2021-07,FR,109.53
2021-08,FR,110.36
2021-09,FR,109.43
2021-10,FR,109.2
2021-11,FR,109.65
2021-12,FR,110.33
2022-01,FR,111.06
2022-02,FR,111.47
2022-03,FR,112.55
2022-04,FR,114.28
2022-05,FR,115.43
2022-06,FR,116.4
2022-07,FR,117.57
2022-08,FR,119.72
2022-09,FR,121.28
2022-10,FR,123.59
2022-11,FR,124.14
2022-12,FR,124.73
2023-01,FR,127.01
2023-02,FR,129.35
2023-03,FR,131.84
2023-04,FR,132.41
2023-05,FR,132.77
2023-06,FR,133.07
2023-07,FR,133.1
2023-08,FR,133.57
2023-09,FR,133.24
2023-10,FR,133.27
2023-11,FR,133.87
2023-12,FR,133.95
2018-01,IT,104.0
2018-02,IT,103.2
2018-03,IT,103.4
2018-04,IT,103.7
2018-05,IT,104.5
2018-06,IT,104.2
2018-07,IT,103.2
2018-08,IT,103.2
2018-09,IT,103.2
2018-10,IT,103.1
2018-11,IT,103.7
2018-12,IT,103.6
2019-01,IT,104.7
2019-02,IT,105.1
2019-03,IT,104.4
2019-04,IT,104.0
2019-05,IT,105.0
2019-06,IT,104.5
2019-07,IT,104.2
2019-08,IT,104.3
2019-09,IT,103.9
2019-10,IT,104.0
2019-11,IT,104.6
2019-12,IT,104.6
2020-01,IT,105.6
2020-02,IT,105.7
2020-03,IT,106.0
2020-04,IT,107.4
2020-05,IT,108.0
2020-06,IT,107.3
2020-07,IT,105.8
2020-08,IT,105.5
2020-09,IT,105.3
2020-10,IT,105.7
2020-11,IT,106.3
2020-12,IT,105.5
2021-01,IT,106.2
2021-02,IT,105.9
2021-03,IT,106.0
2021-04,IT,106.7
2021-05,IT,107.1
2021-06,IT,106.7
2021-07,IT,105.9
2021-08,IT,106.4
2021-09,IT,106.5
2021-10,IT,106.9
2021-11,IT,107.9
2021-12,IT,108.7
2022-01,IT,110.3
2022-02,IT,111.4
2022-03,IT,112.4
2022-04,IT,113.9
2022-05,IT,115.4
2022-06,IT,116.7
2022-07,IT,116.8
2022-08,IT,117.8
2022-09,IT,119.3
2022-10,IT,121.7
2022-11,IT,122.8
2022-12,IT,123.2
2023-01,IT,124.2
2023-02,IT,126.4
2023-03,IT,127.4
2023-04,IT,127.8
2023-05,IT,129.2
2023-06,IT,129.6
2023-07,IT,129.6
2023-08,IT,129.8
2023-09,IT,129.9
2023-10,IT,129.8
2023-11,IT,130.3
2023-12,IT,130.7
2018-01,DE,102.24
2018-02,DE,102.49
2018-03,DE,102.39
2018-04,DE,102.82
2018-05,DE,102.81
2018-06,DE,103.02
2018-07,DE,102.75
2018-08,DE,103.2
2018-09,DE,103.24
